onset	duration	imageid
8	4	498806
12	4	176038
16	4	327738
24	4	263111
28	4	191359
32	4	538007
40	4	21879
44	4	573981
48	4	31250
52	4	232762
56	4	372489
64	4	181139
68	4	456200
72	4	254779
76	4	509883
80	4	395863
84	4	161008
88	4	497600
92	4	373140
100	4	412690
104	4	403463
108	4	241271
112	4	323263
116	4	494194
120	4	42010
124	4	256965
128	4	493286
132	4	473438
136	4	493526
140	4	307784
144	4	252535
148	4	202667
152	4	336390
156	4	480036
160	4	279824
168	4	135680
172	4	36660
176	4	212044
180	4	387685
184	4	303566
188	4	555748
192	4	565612
196	4	523669
200	4	193879
204	4	218854
208	4	410934
212	4	219462
216	4	10363
220	4	518522
224	4	146602
228	4	4134
232	4	197859
236	4	256707
240	4	205279
244	4	336958
248	4	480780
252	4	262954
256	4	46276
260	4	121744
264	4	281835
268	4	418808
272	4	193946
276	4	451214
280	4	293108
284	4	413088
288	4	408808
292	4	149622
296	4	264476
300	4	393836
304	4	313002
308	4	333134
312	4	146332
316	4	310906
320	4	337594
324	4	239882
328	4	219820
332	4	333088
336	4	519359
340	4	558851
344	4	580951
348	4	308430
352	4	347445
356	4	540728
360	4	505384
368	4	556547
